customer_master_id,bu_id,engagement_id,customer_master_as_of_date_id,customer_account_cd,customer_account_name,customer_group,customer_physical_street_addr1,customer_physical_street_addr2,customer_physical_city,customer_physical_state_province,customer_physical_country,customer_physical_zip_code,customer_tax_id,customer_billing_address1,customer_billing_address2,customer_billing_city,customer_billing_state_province,customer_billing_country,customer_billing_zip_code,payment_terms_desc,payment_terms_days,bank_name,bank_account_no,beneficiary,active_ind,active_ind_change_date_id,credit_limit_curr_cd,transaction_credit_limit,overall_credit_limit,ey_related_party,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,approved_by_id,approved_by_date_id,ver_start_date_id,ver_end_date_id,ver_desc
24,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,56,EY_UNKNOWN (0000000056),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
25,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,58,EY_UNKNOWN (0000000058),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
26,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,59,EY_UNKNOWN (0000000059),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
27,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,60,EY_UNKNOWN (0000000060),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
28,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,71,EY_UNKNOWN (0000000071),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
29,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,93,EY_UNKNOWN (0000000093),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
30,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,216,EY_UNKNOWN (0000000216),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
31,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,219,EY_UNKNOWN (0000000219),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
32,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,220,EY_UNKNOWN (0000000220),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
33,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,221,EY_UNKNOWN (0000000221),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
34,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,238,EY_UNKNOWN (0000000238),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
35,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,241,EY_UNKNOWN (0000000241),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
36,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,244,EY_UNKNOWN (0000000244),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
37,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,245,EY_UNKNOWN (0000000245),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
38,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,251,EY_UNKNOWN (0000000251),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
39,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,264,EY_UNKNOWN (0000000264),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
40,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,267,EY_UNKNOWN (0000000267),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
41,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,276,EY_UNKNOWN (0000000276),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
42,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,293,EY_UNKNOWN (0000000293),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
43,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,294,EY_UNKNOWN (0000000294),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
44,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,295,EY_UNKNOWN (0000000295),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
45,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,300,EY_UNKNOWN (0000000300),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
46,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,303,EY_UNKNOWN (0000000303),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
47,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,304,EY_UNKNOWN (0000000304),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
48,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,309,EY_UNKNOWN (0000000309),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
49,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,311,EY_UNKNOWN (0000000311),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
50,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,312,EY_UNKNOWN (0000000312),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
51,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,313,EY_UNKNOWN (0000000313),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
52,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,314,EY_UNKNOWN (0000000314),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
53,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,327,EY_UNKNOWN (0000000327),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
54,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,328,EY_UNKNOWN (0000000328),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
55,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,334,EY_UNKNOWN (0000000334),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
56,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,P0020,EY_UNKNOWN (P0020),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,Intercompany,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
57,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,P0030,EY_UNKNOWN (P0030),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,Intercompany,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
58,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,56,EY_UNKNOWN (0000000056),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
59,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,225,EY_UNKNOWN (0000000225),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
60,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,228,EY_UNKNOWN (0000000228),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
61,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,232,EY_UNKNOWN (0000000232),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
62,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,235,EY_UNKNOWN (0000000235),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
63,5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,242,EY_UNKNOWN (0000000242),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
